,RELIANCE,HDFC BANK,ICICI BANK,INFOSYS,HDFC,TCS,ITC,KOTAK,L&T,AXIS BANK,UNILEVER,SBI,AIRTEL,BAJAJ FINANCE,ASIAN PAINTS,M&M,HCL,MARUTI SUZUKI,SUN PHARMA,TITAN,BAJAJ FINSERV,TATA STEEL,ULTRATECH,NTPC,INDUSIND BANK,POWER GRID,NESTLE,TECH MAHINDRA,WIPRO,DR REDDY
10,2021-01-07 08:00:00,2021-01-04 08:00:00,2021-01-01 08:00:00,2021-01-11 08:00:00,2021-01-06 08:00:00,2021-01-11 08:00:00,2021-01-04 08:00:00,2021-01-05 08:00:00,2021-01-04 08:00:00,2021-01-28 08:00:00,2021-01-06 08:00:00,2021-01-07 08:00:00,2021-01-09 08:00:00,2021-01-05 08:00:00,2021-01-24 08:00:00,2021-01-18 08:00:00,2021-01-27 08:00:00,2021-01-11 08:00:00,2021-02-07 08:00:00,2021-01-13 08:00:00,2021-01-18 08:00:00,2021-01-06 08:00:00,2021-02-04 08:00:00,2021-01-06 08:00:00,2021-01-14 08:00:00,2021-01-09 08:00:00,2021-01-04 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-07 08:00:00
11,2020-12-30 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-14 08:00:00,2021-01-06 08:00:00,2021-01-01 08:00:00,2021-01-06 08:00:00,2021-01-07 08:00:00,2021-01-05 08:00:00,2021-01-19 08:00:00,2021-01-12 08:00:00,2021-01-12 08:00:00,2021-01-12 08:00:00,2021-01-02 08:00:00,2021-01-21 08:00:00,2021-01-27 08:00:00,2021-01-15 08:00:00,2021-01-10 08:00:00,2021-01-29 08:00:00,2021-01-04 08:00:00,2021-02-01 08:00:00,2021-01-10 08:00:00,2021-02-19 08:00:00,2021-01-02 08:00:00,2021-01-19 08:00:00,2020-12-30 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-07 08:00:00,2021-01-08 08:00:00
12,2021-01-05 08:00:00,2021-01-03 08:00:00,2020-12-30 08:00:00,2021-01-05 08:00:00,2021-01-07 08:00:00,2021-01-11 08:00:00,2021-01-14 08:00:00,2021-01-21 08:00:00,2021-01-14 08:00:00,2021-01-17 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-07 08:00:00,2021-01-02 08:00:00,2021-01-22 08:00:00,2021-01-27 08:00:00,2021-01-18 08:00:00,2021-01-11 08:00:00,2021-02-01 08:00:00,2021-01-10 08:00:00,2021-02-08 08:00:00,2021-01-04 08:00:00,2021-02-19 08:00:00,2021-01-11 08:00:00,2021-01-20 08:00:00,2021-01-11 08:00:00,2020-12-31 08:00:00,2021-01-06 08:00:00,2021-01-07 08:00:00,2021-01-04 08:00:00
13,2021-01-07 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-07 08:00:00,2020-12-31 08:00:00,2021-01-11 08:00:00,2021-01-01 08:00:00,2021-01-25 08:00:00,2021-01-05 08:00:00,2021-01-21 08:00:00,2021-01-07 08:00:00,2021-01-14 08:00:00,2021-01-11 08:00:00,2021-01-08 08:00:00,2021-01-21 08:00:00,2021-01-18 08:00:00,2021-01-18 08:00:00,2021-01-03 08:00:00,2021-01-29 08:00:00,2021-01-08 08:00:00,2021-02-02 08:00:00,2021-01-06 08:00:00,2021-02-27 08:00:00,2021-01-13 08:00:00,2021-01-29 08:00:00,2021-01-07 08:00:00,2021-01-11 08:00:00,2021-01-13 08:00:00,2021-01-14 08:00:00,2021-01-10 08:00:00
14,2020-12-31 08:00:00,2021-01-01 08:00:00,2021-01-14 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-08 08:00:00,2021-01-09 08:00:00,2021-01-24 08:00:00,2021-01-01 08:00:00,2021-01-20 08:00:00,2021-01-07 08:00:00,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-08 08:00:00,2021-01-25 08:00:00,2021-01-15 08:00:00,2021-01-26 08:00:00,2021-01-14 08:00:00,2021-02-12 08:00:00,2021-01-07 08:00:00,2021-02-01 08:00:00,2021-01-01 08:00:00,2021-03-05 08:00:00,2021-01-08 08:00:00,2021-01-31 08:00:00,2021-01-07 08:00:00,2020-12-31 08:00:00,2021-01-29 08:00:00,2021-01-07 08:00:00,2021-01-25 08:00:00
15,2021-01-12 08:00:00,2020-12-30 08:00:00,2021-01-04 08:00:00,2021-01-07 08:00:00,2020-12-31 08:00:00,2021-01-07 08:00:00,2021-01-11 08:00:00,2021-01-24 08:00:00,2021-01-03 08:00:00,2021-01-19 08:00:00,2021-01-01 08:00:00,2021-01-07 08:00:00,2020-12-31 08:00:00,2021-01-07 08:00:00,2021-01-21 08:00:00,2021-01-20 08:00:00,2021-01-16 08:00:00,2021-01-12 08:00:00,2021-02-01 08:00:00,2021-01-09 08:00:00,2021-02-05 08:00:00,2021-01-05 08:00:00,2021-03-13 08:00:00,2021-01-12 08:00:00,2021-02-05 08:00:00,2021-01-01 08:00:00,2021-01-07 08:00:00,2021-01-28 08:00:00,2021-01-07 08:00:00,2021-01-27 08:00:00
16,2021-01-08 08:00:00,2021-01-14 08:00:00,2021-01-05 08:00:00,2020-12-31 08:00:00,2021-01-05 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-01-22 08:00:00,2021-01-14 08:00:00,2021-01-16 08:00:00,2021-01-06 08:00:00,2021-01-09 08:00:00,2021-01-11 08:00:00,2021-01-20 08:00:00,2021-01-22 08:00:00,2021-01-15 08:00:00,2021-01-28 08:00:00,2021-01-12 08:00:00,2021-02-06 08:00:00,2021-01-03 08:00:00,2021-02-12 08:00:00,2021-01-06 08:00:00,2021-03-04 08:00:00,2021-01-13 08:00:00,2021-02-06 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-29 08:00:00,2021-01-19 08:00:00,2021-01-18 08:00:00
17,2021-01-11 08:00:00,2021-01-06 08:00:00,2020-12-31 08:00:00,2021-01-09 08:00:00,2021-01-03 08:00:00,2020-12-31 08:00:00,2021-01-01 08:00:00,2021-01-25 08:00:00,2021-01-07 08:00:00,2021-01-15 08:00:00,2021-01-04 08:00:00,2020-12-30 08:00:00,2021-01-02 08:00:00,2021-01-22 08:00:00,2021-01-25 08:00:00,2021-01-27 08:00:00,2021-01-28 08:00:00,2021-01-07 08:00:00,2021-02-12 08:00:00,2021-01-11 08:00:00,2021-02-04 08:00:00,2021-01-07 08:00:00,2021-03-15 07:00:00,2021-01-11 08:00:00,2021-02-04 08:00:00,2021-01-06 08:00:00,2021-01-05 08:00:00,2021-01-14 08:00:00,2021-01-28 08:00:00,2021-01-26 08:00:00
18,2021-01-06 08:00:00,2021-01-04 08:00:00,2021-01-06 08:00:00,2021-01-01 08:00:00,2021-01-12 08:00:00,2021-01-08 08:00:00,2021-01-04 08:00:00,2021-01-27 08:00:00,2021-01-09 08:00:00,2021-01-27 08:00:00,2021-01-10 08:00:00,2021-01-08 08:00:00,2021-01-13 08:00:00,2021-01-22 08:00:00,2021-01-17 08:00:00,2021-01-21 08:00:00,2021-01-19 08:00:00,2021-01-04 08:00:00,2021-02-25 08:00:00,2021-01-11 08:00:00,2021-02-12 08:00:00,2021-01-02 08:00:00,2021-03-28 07:00:00,2021-01-08 08:00:00,2021-02-12 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-27 08:00:00,2021-01-25 16:22:34,2021-01-14 08:00:00
19,2021-01-11 08:00:00,2021-01-08 08:00:00,2021-01-07 08:00:00,2021-01-14 08:00:00,2021-01-12 08:00:00,2021-01-12 08:00:00,2021-01-08 08:00:00,2021-01-27 08:00:00,2021-01-06 08:00:00,2021-01-21 08:00:00,2021-01-05 08:00:00,2020-12-30 08:00:00,2021-01-14 08:00:00,2021-01-20 08:00:00,2021-01-16 08:00:00,2021-01-19 08:00:00,2021-01-29 08:00:00,2021-01-09 08:00:00,2021-02-23 08:00:00,2021-01-09 08:00:00,2021-02-22 08:00:00,2021-01-01 08:00:00,2021-03-31 07:00:00,2021-01-14 08:00:00,2021-02-01 08:00:00,2021-01-06 08:00:00,2021-01-06 08:00:00,2021-01-26 08:00:00,2021-01-19 08:00:00,2021-01-27 08:00:00
